repo_owner,repo_name,pr_number,pr_url,pr_status,analysis_time_hours,size_files_changed,size_lines_added,size_lines_removed,description_chars,interaction_participants,interaction_comments,num_reviews
freeCodeCamp,freeCodeCamp,62476,https://github.com/freeCodeCamp/freeCodeCamp/pull/62476,CLOSED,2.71,1,1,1,765,2,5,1
freeCodeCamp,freeCodeCamp,62473,https://github.com/freeCodeCamp/freeCodeCamp/pull/62473,MERGED,1.78,1,4,4,792,3,5,2
freeCodeCamp,freeCodeCamp,62413,https://github.com/freeCodeCamp/freeCodeCamp/pull/62413,MERGED,89.75,1,3,0,919,4,1,4
freeCodeCamp,freeCodeCamp,62466,https://github.com/freeCodeCamp/freeCodeCamp/pull/62466,MERGED,8.17,12,48,46,1690,3,0,4
freeCodeCamp,freeCodeCamp,62262,https://github.com/freeCodeCamp/freeCodeCamp/pull/62262,MERGED,19.45,10,19,21,788,3,0,2
freeCodeCamp,freeCodeCamp,62258,https://github.com/freeCodeCamp/freeCodeCamp/pull/62258,MERGED,20.56,1,5,5,1113,3,0,2
freeCodeCamp,freeCodeCamp,62261,https://github.com/freeCodeCamp/freeCodeCamp/pull/62261,MERGED,20.02,5,7,7,788,3,0,2
freeCodeCamp,freeCodeCamp,62255,https://github.com/freeCodeCamp/freeCodeCamp/pull/62255,MERGED,100.25,1,9,9,1059,3,0,4
freeCodeCamp,freeCodeCamp,62216,https://github.com/freeCodeCamp/freeCodeCamp/pull/62216,MERGED,118.52,5,135,0,803,4,0,4
freeCodeCamp,freeCodeCamp,62055,https://github.com/freeCodeCamp/freeCodeCamp/pull/62055,MERGED,414.75,8,1255,49,792,4,0,8
freeCodeCamp,freeCodeCamp,62227,https://github.com/freeCodeCamp/freeCodeCamp/pull/62227,MERGED,192.42,5,109,0,789,3,2,3
freeCodeCamp,freeCodeCamp,62128,https://github.com/freeCodeCamp/freeCodeCamp/pull/62128,MERGED,317.27,5,130,0,792,6,0,8
freeCodeCamp,freeCodeCamp,62226,https://github.com/freeCodeCamp/freeCodeCamp/pull/62226,MERGED,331.21,5,115,0,803,4,2,4
freeCodeCamp,freeCodeCamp,62198,https://github.com/freeCodeCamp/freeCodeCamp/pull/62198,MERGED,287.59,5,212,0,792,3,2,8
freeCodeCamp,freeCodeCamp,61638,https://github.com/freeCodeCamp/freeCodeCamp/pull/61638,MERGED,1348.12,19,2814,0,792,5,1,8
freeCodeCamp,freeCodeCamp,62393,https://github.com/freeCodeCamp/freeCodeCamp/pull/62393,MERGED,128.32,1,5,6,733,3,0,2
freeCodeCamp,freeCodeCamp,62461,https://github.com/freeCodeCamp/freeCodeCamp/pull/62461,MERGED,21.09,1,1,1,761,4,0,2
freeCodeCamp,freeCodeCamp,62253,https://github.com/freeCodeCamp/freeCodeCamp/pull/62253,MERGED,358.03,39,2815,3,803,4,1,10
freeCodeCamp,freeCodeCamp,62450,https://github.com/freeCodeCamp/freeCodeCamp/pull/62450,MERGED,24.65,13,206,125,1721,3,2,4
freeCodeCamp,freeCodeCamp,61040,https://github.com/freeCodeCamp/freeCodeCamp/pull/61040,MERGED,2400.96,5,90,27,1053,5,3,6
freeCodeCamp,freeCodeCamp,62344,https://github.com/freeCodeCamp/freeCodeCamp/pull/62344,MERGED,193.17,16,1034,524,926,3,2,10
freeCodeCamp,freeCodeCamp,62266,https://github.com/freeCodeCamp/freeCodeCamp/pull/62266,MERGED,326.07,5,1611,11,803,5,3,6
freeCodeCamp,freeCodeCamp,62448,https://github.com/freeCodeCamp/freeCodeCamp/pull/62448,MERGED,16.47,2,12,0,826,3,1,2
freeCodeCamp,freeCodeCamp,62439,https://github.com/freeCodeCamp/freeCodeCamp/pull/62439,MERGED,26.92,1,1,1,761,3,1,2
freeCodeCamp,freeCodeCamp,62457,https://github.com/freeCodeCamp/freeCodeCamp/pull/62457,MERGED,5.8,1,2,2,891,3,0,2
freeCodeCamp,freeCodeCamp,62240,https://github.com/freeCodeCamp/freeCodeCamp/pull/62240,MERGED,360.44,35,119,61,735,5,15,13
freeCodeCamp,freeCodeCamp,62417,https://github.com/freeCodeCamp/freeCodeCamp/pull/62417,MERGED,38.46,7,9,9,761,3,1,6
freeCodeCamp,freeCodeCamp,62451,https://github.com/freeCodeCamp/freeCodeCamp/pull/62451,MERGED,1.19,1,2,2,1333,4,1,2
freeCodeCamp,freeCodeCamp,62444,https://github.com/freeCodeCamp/freeCodeCamp/pull/62444,MERGED,5.97,2,43,25,833,3,0,4
freeCodeCamp,freeCodeCamp,62443,https://github.com/freeCodeCamp/freeCodeCamp/pull/62443,MERGED,2.55,20,1490,1360,45,3,0,1
freeCodeCamp,freeCodeCamp,62442,https://github.com/freeCodeCamp/freeCodeCamp/pull/62442,CLOSED,1.93,1,9,5,1174,2,0,1
freeCodeCamp,freeCodeCamp,61399,https://github.com/freeCodeCamp/freeCodeCamp/pull/61399,MERGED,1799.59,6,27,34,1188,3,2,1
freeCodeCamp,freeCodeCamp,62433,https://github.com/freeCodeCamp/freeCodeCamp/pull/62433,MERGED,9.46,39,1350,4,851,4,0,3
freeCodeCamp,freeCodeCamp,62432,https://github.com/freeCodeCamp/freeCodeCamp/pull/62432,MERGED,10.86,2,2,2,889,3,1,2
freeCodeCamp,freeCodeCamp,62355,https://github.com/freeCodeCamp/freeCodeCamp/pull/62355,MERGED,124.75,1,123,4,803,4,0,5
freeCodeCamp,freeCodeCamp,62416,https://github.com/freeCodeCamp/freeCodeCamp/pull/62416,MERGED,4.88,2,3,3,820,3,0,2
freeCodeCamp,freeCodeCamp,62424,https://github.com/freeCodeCamp/freeCodeCamp/pull/62424,MERGED,4.74,6,204,59,807,3,0,2
freeCodeCamp,freeCodeCamp,62414,https://github.com/freeCodeCamp/freeCodeCamp/pull/62414,MERGED,23.74,469,1318,1318,1304,3,3,3
freeCodeCamp,freeCodeCamp,59204,https://github.com/freeCodeCamp/freeCodeCamp/pull/59204,MERGED,4898.97,7,49,191,810,3,1,2
freeCodeCamp,freeCodeCamp,58016,https://github.com/freeCodeCamp/freeCodeCamp/pull/58016,CLOSED,6342.69,2225,10732,20633,1077,4,7,15
freeCodeCamp,freeCodeCamp,61197,https://github.com/freeCodeCamp/freeCodeCamp/pull/61197,CLOSED,2140.55,2,72,43,1000,5,3,4
freeCodeCamp,freeCodeCamp,61250,https://github.com/freeCodeCamp/freeCodeCamp/pull/61250,CLOSED,2022.68,1,29,27,846,5,2,1
freeCodeCamp,freeCodeCamp,61425,https://github.com/freeCodeCamp/freeCodeCamp/pull/61425,MERGED,1702.34,69,1925,1825,1483,7,3,3
freeCodeCamp,freeCodeCamp,62367,https://github.com/freeCodeCamp/freeCodeCamp/pull/62367,MERGED,106.17,39,3027,7,747,3,0,7
freeCodeCamp,freeCodeCamp,62105,https://github.com/freeCodeCamp/freeCodeCamp/pull/62105,MERGED,495.71,7,9,29,833,3,0,2
freeCodeCamp,freeCodeCamp,61424,https://github.com/freeCodeCamp/freeCodeCamp/pull/61424,MERGED,1699.9,28,1613,2,806,5,3,15
freeCodeCamp,freeCodeCamp,62053,https://github.com/freeCodeCamp/freeCodeCamp/pull/62053,MERGED,601.55,12,505,3,806,5,1,10
freeCodeCamp,freeCodeCamp,62407,https://github.com/freeCodeCamp/freeCodeCamp/pull/62407,MERGED,3.42,5,126,4,817,3,0,2
freeCodeCamp,freeCodeCamp,57681,https://github.com/freeCodeCamp/freeCodeCamp/pull/57681,MERGED,8.25,5,34,38,825,3,0,2
freeCodeCamp,freeCodeCamp,57638,https://github.com/freeCodeCamp/freeCodeCamp/pull/57638,MERGED,66.83,11,67,85,1958,4,0,11
freeCodeCamp,freeCodeCamp,57618,https://github.com/freeCodeCamp/freeCodeCamp/pull/57618,MERGED,46.98,4,23,22,1359,4,0,3
freeCodeCamp,freeCodeCamp,57178,https://github.com/freeCodeCamp/freeCodeCamp/pull/57178,MERGED,6.15,2,199,1,750,4,0,5
freeCodeCamp,freeCodeCamp,61383,https://github.com/freeCodeCamp/freeCodeCamp/pull/61383,MERGED,34.41,5,132,0,885,3,1,5
freeCodeCamp,freeCodeCamp,61382,https://github.com/freeCodeCamp/freeCodeCamp/pull/61382,MERGED,203.41,5,156,0,966,3,4,4
freeCodeCamp,freeCodeCamp,62129,https://github.com/freeCodeCamp/freeCodeCamp/pull/62129,MERGED,289.88,5,141,0,806,4,1,6
freeCodeCamp,freeCodeCamp,57309,https://github.com/freeCodeCamp/freeCodeCamp/pull/57309,MERGED,36.71,2,49,1,750,3,0,3
freeCodeCamp,freeCodeCamp,57308,https://github.com/freeCodeCamp/freeCodeCamp/pull/57308,MERGED,38.95,2,20,1,750,4,0,4
freeCodeCamp,freeCodeCamp,57307,https://github.com/freeCodeCamp/freeCodeCamp/pull/57307,MERGED,174.24,11,110,52,733,4,3,3
freeCodeCamp,freeCodeCamp,56978,https://github.com/freeCodeCamp/freeCodeCamp/pull/56978,MERGED,474.02,20,2961,0,806,4,4,10
freeCodeCamp,freeCodeCamp,61376,https://github.com/freeCodeCamp/freeCodeCamp/pull/61376,MERGED,37.02,5,140,0,806,4,1,5
freeCodeCamp,freeCodeCamp,57311,https://github.com/freeCodeCamp/freeCodeCamp/pull/57311,MERGED,246.29,2,210,1,805,3,0,3
freeCodeCamp,freeCodeCamp,56767,https://github.com/freeCodeCamp/freeCodeCamp/pull/56767,MERGED,297.55,5,366,2,805,6,3,14
freeCodeCamp,freeCodeCamp,56482,https://github.com/freeCodeCamp/freeCodeCamp/pull/56482,MERGED,1135.28,5,193,1,901,4,2,4
freeCodeCamp,freeCodeCamp,56011,https://github.com/freeCodeCamp/freeCodeCamp/pull/56011,MERGED,450.51,4,760,1,750,4,3,10
freeCodeCamp,freeCodeCamp,60128,https://github.com/freeCodeCamp/freeCodeCamp/pull/60128,MERGED,423.09,2,696,5,795,3,0,5
freeCodeCamp,freeCodeCamp,59460,https://github.com/freeCodeCamp/freeCodeCamp/pull/59460,MERGED,1036.53,5,907,1,806,8,8,22
freeCodeCamp,freeCodeCamp,56054,https://github.com/freeCodeCamp/freeCodeCamp/pull/56054,MERGED,532.2,4,287,0,856,5,10,23
freeCodeCamp,freeCodeCamp,56012,https://github.com/freeCodeCamp/freeCodeCamp/pull/56012,MERGED,312.88,4,686,1,750,4,2,6
freeCodeCamp,freeCodeCamp,56010,https://github.com/freeCodeCamp/freeCodeCamp/pull/56010,MERGED,312.39,4,933,1,785,4,6,4
freeCodeCamp,freeCodeCamp,61340,https://github.com/freeCodeCamp/freeCodeCamp/pull/61340,MERGED,242.52,5,131,0,806,4,2,6
freeCodeCamp,freeCodeCamp,57208,https://github.com/freeCodeCamp/freeCodeCamp/pull/57208,MERGED,512.67,5,379,1,806,5,2,8
freeCodeCamp,freeCodeCamp,57205,https://github.com/freeCodeCamp/freeCodeCamp/pull/57205,MERGED,534.82,5,381,1,806,4,2,6
freeCodeCamp,freeCodeCamp,57202,https://github.com/freeCodeCamp/freeCodeCamp/pull/57202,MERGED,530.62,5,299,1,806,4,1,6
freeCodeCamp,freeCodeCamp,56056,https://github.com/freeCodeCamp/freeCodeCamp/pull/56056,MERGED,148.41,4,424,1,750,3,0,3
freeCodeCamp,freeCodeCamp,62132,https://github.com/freeCodeCamp/freeCodeCamp/pull/62132,MERGED,285.02,5,132,3,806,4,2,8
freeCodeCamp,freeCodeCamp,59545,https://github.com/freeCodeCamp/freeCodeCamp/pull/59545,MERGED,981.6,5,425,5,806,5,0,21
freeCodeCamp,freeCodeCamp,57179,https://github.com/freeCodeCamp/freeCodeCamp/pull/57179,MERGED,7.73,2,24,1,735,4,0,5
freeCodeCamp,freeCodeCamp,56332,https://github.com/freeCodeCamp/freeCodeCamp/pull/56332,MERGED,122.41,4,175,1,948,5,1,12
freeCodeCamp,freeCodeCamp,56270,https://github.com/freeCodeCamp/freeCodeCamp/pull/56270,MERGED,194.81,4,481,1,910,4,1,44
freeCodeCamp,freeCodeCamp,61342,https://github.com/freeCodeCamp/freeCodeCamp/pull/61342,MERGED,162.14,5,120,0,806,5,0,11
freeCodeCamp,freeCodeCamp,61298,https://github.com/freeCodeCamp/freeCodeCamp/pull/61298,MERGED,691.24,5,245,4,806,5,0,9
freeCodeCamp,freeCodeCamp,60845,https://github.com/freeCodeCamp/freeCodeCamp/pull/60845,MERGED,1200.6,5,487,4,806,4,2,19
freeCodeCamp,freeCodeCamp,57040,https://github.com/freeCodeCamp/freeCodeCamp/pull/57040,MERGED,194.02,102,24117,1,806,3,1,2
freeCodeCamp,freeCodeCamp,56799,https://github.com/freeCodeCamp/freeCodeCamp/pull/56799,MERGED,720.66,5,333,1,905,5,3,15
freeCodeCamp,freeCodeCamp,62117,https://github.com/freeCodeCamp/freeCodeCamp/pull/62117,MERGED,389.37,5,118,0,806,4,1,4
freeCodeCamp,freeCodeCamp,62108,https://github.com/freeCodeCamp/freeCodeCamp/pull/62108,MERGED,313.33,5,114,3,806,4,1,11
freeCodeCamp,freeCodeCamp,61337,https://github.com/freeCodeCamp/freeCodeCamp/pull/61337,MERGED,1.98,6,110,0,806,3,0,6
freeCodeCamp,freeCodeCamp,55886,https://github.com/freeCodeCamp/freeCodeCamp/pull/55886,MERGED,588.73,4,352,1,750,4,0,12
freeCodeCamp,freeCodeCamp,55838,https://github.com/freeCodeCamp/freeCodeCamp/pull/55838,MERGED,681.78,4,225,1,750,5,0,11
freeCodeCamp,freeCodeCamp,59121,https://github.com/freeCodeCamp/freeCodeCamp/pull/59121,MERGED,2858.51,5,449,1,806,6,17,9
freeCodeCamp,freeCodeCamp,61750,https://github.com/freeCodeCamp/freeCodeCamp/pull/61750,MERGED,1151.66,17,774,3,806,6,1,18
freeCodeCamp,freeCodeCamp,59633,https://github.com/freeCodeCamp/freeCodeCamp/pull/59633,MERGED,1400.55,29,1655,2,806,6,1,23
freeCodeCamp,freeCodeCamp,56157,https://github.com/freeCodeCamp/freeCodeCamp/pull/56157,MERGED,96.98,4,332,1,825,3,0,5
